Skill,skill_chinese,category,topic,PreKnowledge,
Identify the 50 state capitals,识别50个州的首府,State capitals,geography,,
"Identify mammals, birds, fish, reptiles, and amphibians",识别哺乳动物、鸟类、鱼类、爬行动物和两栖动物,Classification,biology,Identify vertebrates and invertebrates,
Use personification,使用拟人化,Creative techniques,writing-strategies,Identify similes and metaphors,
Identify questions that can be investigated with a set of materials,识别可以使用一组材料调查的问题,Designing experiments,science-and-engineering-practices,,
Changes to Earth's surface: earthquakes,地球表面的变化：地震,Earth events,literacy-in-science,Classify changes to Earth's surface I,
"Choose metric units of distance, mass, and volume",选择公制距离、质量和体积单位,Units and measurement,units-and-measurement,,
Classify elementary substances and compounds using models,使用模型分类基本物质和化合物,Atoms and molecules,chemistry,Identify elementary substances and compounds using models,
"Describe, classify, and compare kingdoms",描述、分类和比较界,Classification,biology,Identify plants and animals,
Trade and specialization,贸易和专业化,Basic economic principles,economics,Costs and benefits,
Identify living and nonliving things,识别生物和非生物事物,Classification,biology,,
Human organs and their functions,人体器官及其功能,Animals,biology,,
Compare magnitudes of magnetic forces,比较磁力的大小,"Velocity, acceleration, and forces",physics,Predict forces using Newton's third law,
Identify state capitals of the West,识别西部的州首府,State capitals,geography,,
How is temperature related to thermal energy?,温度与热能的关系是什么？,Heat and thermal energy,physics,,
Classify figures of speech,分类修辞手法,Literary devices,figurative-language,"Classify the figure of speech: anaphora, antithesis, apostrophe, assonance, chiasmus, understatement",
Recall the source of an allusion,回忆典故的来源,Literary devices,figurative-language,,
Genetics vocabulary: genotype and phenotype,遗传学词汇：基因型和表型,Genes to traits,biology,Genetics vocabulary: dominant and recessive,
Inherited and acquired traits: use evidence to support a statement,使用证据支持遗传和获得性特征的陈述,Genes to traits,biology,Genetics vocabulary: genotype and phenotype,
Classify matter as solid or liquid,将物质分类为固体或液体,States of matter,physics,Identify solids and liquids,
Which word does not rhyme?,哪个词不押韵？,Rhyming,phonological-awareness,,
Is the sentence simple or compound?,句子是简单句还是并列句？,"Sentences, fragments, and run-ons",grammar,"Is it a complete sentence, a fragment, or a run-on?",
Identify run-on sentences,识别连续句,"Sentences, fragments, and run-ons",writing-strategies,Identify sentence fragments,
Interpret food webs I,解释食物网 I,Ecosystems,biology,Interpret food webs,
Describe ecosystems,描述生态系统,Ecosystems,biology,Identify ecosystems,
Identify independent and dependent variables,识别自变量和因变量,Designing experiments,science-and-engineering-practices,Identify the experimental question,
Estimate temperatures,估计温度,Units and measurement,units-and-measurement,,
Understand overall supply and demand,理解总体供应和需求,Supply and demand,economics,,
Identify inherited and acquired traits,识别遗传和获得性特征,Traits and heredity,biology,,
Distinguish facts from opinions,区分事实和意见,Opinion writing,writing-strategies,,
What's the difference between weather and climate?,天气和气候有什么区别？,Weather and climate,earth-science,,
Compare magnitudes of magnetic forces,比较磁力的大小,Magnets,physics,Identify magnets that attract or repel,
"Classify matter as solid, liquid, or gas",将物质分类为固体、液体或气体,States of matter,physics,Identify solids and liquids,
Read a thermometer,读取温度计,Weather and climate,units-and-measurement,,
"Is the sentence simple, compound, or complex?",句子是简单句、并列句还是复合句？,"Sentences, fragments, and run-ons",grammar,Is the sentence simple or compound?,
Interpret food webs,解释食物网,Ecosystems,biology,Identify roles in food chains,
Greetings and closings of letters,信件的问候和结束语,Formatting,punctuation,Capitalizing titles,
Compare the speeds of moving objects,比较移动物体的速度,Force and motion,physics,How do balanced and unbalanced forces affect motion?,
Balanced and unbalanced forces,平衡和不平衡力,"Velocity, acceleration, and forces",physics,,
Distinguish facts from opinions,区分事实和意见,Developing and supporting arguments,writing-strategies,,
Identify reactants and products,识别反应物和产物,Chemical reactions,chemistry,,
How do mass and force affect motion?,质量和力如何影响运动？,Force and motion,physics,Identify directions of forces,
Angiosperm and conifer life cycles,被子植物和裸子植物的生命周期,Plant reproduction,biology,Moss and fern life cycles,
"Classify the figure of speech: euphemism, hyperbole, oxymoron, paradox",分类修辞手法：委婉语、夸张、矛盾、悖论,Literary devices,figurative-language,Identify similes and metaphors,
Identify changes in gravitational potential energy,识别重力势能的变化,Kinetic and potential energy,physics,,
Identify plants and animals,识别植物和动物,Classification,biology,Identify living and nonliving things,
Greetings and closings of letters,信件的问候和结束语,Capitalization,capitalization,,
Identify vertebrates and invertebrates,识别脊椎动物和无脊椎动物,Classification,biology,Identify animals with and without backbones,
Positive and negative connotation,积极和消极的内涵,Shades of meaning,vocabulary,,
Identify oceans and continents,识别海洋和大陆,Oceans and continents,geography,Read a map: cardinal directions,
Identify roles in food chains,识别食物链中的角色,Ecosystems,biology,Describe ecosystems,
Compare physical and chemical changes,比较物理和化学变化,Chemical reactions,chemistry,,
Explore words with new or contested usages,探索具有新的或有争议的用法的单词,Word usage and nuance,writing-strategies,,
Determine the meaning of domain-specific words with pictures,确定带图片的领域特定词汇的含义,Domain-specific vocabulary,word-study,,
Classify logical fallacies,分类逻辑谬误,Developing and supporting arguments,writing-strategies,Distinguish facts from opinions,
Identify magnets that attract or repel,识别吸引或排斥的磁铁,Magnets,physics,,
Which sentence is more formal?,哪个句子更正式？,Author's purpose and tone,writing-strategies,,
Identify materials in objects,识别物体中的材料,Materials,physics,Identify properties of an object,
Identify and select countries of the Caribbean,识别和选择加勒比国家,The Americas: geography,geography,,
Identify the Thirteen Colonies,识别十三个殖民地,Colonial America,us-history,,
"Is it a complete sentence, a fragment, or a run-on?",这是完整句子、片段还是连续句？,"Sentences, fragments, and run-ons",writing-strategies,Identify sentence fragments##Identify run-on sentences,Identify run-on sentences
Identify chemical formulas for ball-and-stick models,识别球棒模型的化学公式,Atoms and molecules,chemistry,Identify elementary substances and compounds using models,
How are temperature and mass related to thermal energy?,温度和质量如何与热能相关？,Thermal energy,physics,,
Compare thermal energy transfers,比较热能传递,Thermal energy,physics,How are temperature and mass related to thermal energy?,
Cities of the Northeast,东北部的城市,Cities,geography,Major U.S. cities,
Predict forces using Newton's third law,使用牛顿第三定律预测力,"Velocity, acceleration, and forces",physics,,
Use scientific names to classify organisms,使用科学名称对生物进行分类,Classification and scientific names,biology,Identify common and scientific names,
Choose customary units of volume,选择常用体积单位,Units and measurement,units-and-measurement,,
Choose metric units of distance,选择公制距离单位,Units and measurement,units-and-measurement,,
Identify pushes and pulls,识别推力和拉力,Force and motion,physics,,
Goods and services,商品和服务,Economics,economics,,
Origins of scientific names,科学名称的起源,Scientific names,biology,,
Read a map: cardinal directions,阅读地图：基本方向,Maps,geography,,
Formatting titles,格式化标题,Formatting,punctuation,Capitalizing titles,
Compare ages of fossils in a rock sequence,比较岩石序列中化石的年龄,Fossils,earth-science,Interpret evidence from fossils in rock layers,
"Use evidence to classify mammals, birds, fish, reptiles, and amphibians",使用证据对哺乳动物、鸟类、鱼类、爬行动物和两栖动物进行分类,Classification,biology,"Identify mammals, birds, fish, reptiles, and amphibians",
Choose metric units of mass,选择公制质量单位,Units and measurement,units-and-measurement,,
Compare properties of materials,比较材料的属性,Materials,physics,Identify materials in objects,
Read and understand informational passages,阅读和理解信息性文本,Independent reading comprehension,reading-comprehension,,
Identify text structures,识别文本结构,Text structure,writing-strategies,,
Describe and construct conifer life cycles,描述和构建裸子植物生命周期,Plants,biology,Describe and construct flowering plant life cycles,
Oceans and continents,海洋和大陆,Physical Geography,geography,,
Determine the meaning of domain-specific words with pictures,确定带图片的领域特定词汇的含义,Context clues,vocabulary,,
Identify multiple materials in objects,识别物体中的多种材料,Materials,physics,Identify materials in objects,
"Is the sentence simple, compound, complex, or compound-complex?",句子是简单句、并列句、复合句还是复合-并列句？,Phrases and clauses,grammar,,
Identify the photosynthetic organism,识别光合作用生物,Photosynthesis,biology,,
Classify fruits and vegetables as plant parts,将水果和蔬菜分类为植物部分,Plants,biology,How do plants make food?,
Use lines of latitude and longitude,使用纬度和经度线,Maps,geography,Read a map: cardinal directions,
Identify and select countries of Oceania,识别和选择大洋洲国家,Oceania: geography,geography,,
"Is the sentence declarative, interrogative, imperative, or exclamatory?",句子是陈述句、疑问句、祈使句还是感叹句？,"Sentences, fragments, and run-ons",punctuation,"Is it a complete sentence, a fragment, or a run-on?",
Costs and benefits,成本和收益,Basic economic principles,economics,Goods and services,
Identify elementary substances and compounds using models,使用模型识别基本物质和化合物,Atoms and molecules,chemistry,What are atoms and chemical elements?,
Is the syllable open or closed?,音节是开放的还是封闭的？,Short and long vowels,word-study,,
Identify state capitals of the Midwest,识别中西部的州首府,State capitals,geography,,
Use scientific names to classify organisms,使用科学名称对生物进行分类,Scientific names,biology,Identify common and scientific names,
Identify rocks and minerals,识别岩石和矿物,Rocks and minerals,earth-science,,
Read graphic organizers,阅读图形组织者,Visual elements,writing-strategies,,
Animal adaptations: skins and body coverings,动物适应性：皮肤和身体覆盖物,Adaptations,biology,Introduction to adaptations,
Choose customary units of mass,选择常用质量单位,Units and measurement,units-and-measurement,,
Which text is most formal?,哪个文本最正式？,"Audience, purpose, and tone",writing-strategies,,
Easter,复活节,Cultural celebrations,culture,,
Use a letter-number grid,使用字母-数字网格,Geography,geography,Read a map: cardinal directions,
Moss and fern life cycles,苔藓和蕨类植物的生命周期,Plant reproduction,biology,,
Identify animals with and without backbones,识别有背骨和无背骨的动物,Classification,biology,Identify plants and animals,
"Identify appeals to ethos, pathos, and logos in advertisements",识别广告中的伦理、情感和逻辑诉求,Persuasive strategies,writing-strategies,,
Identify directions of forces,识别力的方向,Force and motion,physics,Identify pushes and pulls,
Identify minerals using properties,使用属性识别矿物,Rocks and minerals,earth-science,Identify rocks and minerals,
Identify vague pronoun references,识别含糊的代词指代,Pronouns and antecedents,writing-strategies,,
Classify elementary substances and compounds using chemical formulas,使用化学公式对基本物质和化合物进行分类,Atoms and molecules,chemistry,Identify elementary substances and compounds using chemical formulas,
Identify and compare air masses,识别和比较气团,Weather and climate,earth-science,Explore air masses,
Identify common and scientific names,识别常见和科学名称,Scientific names,biology,Origins of scientific names,
Identify the 50 states,识别50个州,States,geography,,
Classify changes to Earth's surface II,分类地球表面的变化 II,Earth events,earth-science,Classify changes to Earth's surface I,
Identify similes and metaphors,识别明喻和暗喻,Literary devices,figurative-language,,
"Classify figures of speech: euphemism, hyperbole, oxymoron, paradox",分类修辞手法：委婉语、夸张、矛盾、悖论,Literary devices,figurative-language,"Classify the figure of speech: euphemism, hyperbole, oxymoron, paradox",
Compare fossils to modern organisms,将化石与现代生物进行比较,Fossils,earth-science,Identify and classify fossils,
Classify changes to Earth's surface,分类地球表面的变化,Earth events,earth-science,Classify changes to Earth's surface II,
Describe energy changes in chemical reactions,描述化学反应中的能量变化,Chemical reactions,chemistry,Identify reactants and products,
Cities of the West,西部的城市,Cities,geography,Major U.S. cities,
The Reformation,宗教改革,Early Modern Europe,world-history,,
Identify common and scientific names,识别常见和科学名称,Classification and scientific names,biology,,
Identify oceans and continents,识别海洋和大陆,Geography,geography,,
Interpret food webs I,解释食物网 I,Ecological interactions,biology,,
How do sedimentary rocks form?,沉积岩是如何形成的？,Rocks and minerals,earth-science,"Classify rocks as igneous, sedimentary, or metamorphic",
How are temperature and mass related to thermal energy?,温度和质量如何与热能相关？,Heat and thermal energy,physics,How is temperature related to thermal energy?,
Diffusion across membranes,跨膜扩散,Solutions,chemistry,Compare concentrations of solutions,
Identify mixtures,识别混合物,Mixtures,physics,,
How do balanced and unbalanced forces affect motion?,平衡和不平衡力如何影响运动？,Force and motion,physics,How do mass and force affect motion?,
Use evidence to classify animals,使用证据对动物进行分类,Classification,biology,Identify vertebrates and invertebrates,
Identify oceans and continents,识别海洋和大陆,"Oceans and continents	",geography,,
Choose customary units of distance,选择常用距离单位,Units and measurement,units-and-measurement,,
Match chemical formulas to ball-and-stick models,将化学公式与球棒模型匹配,Atoms and molecules,chemistry,Identify chemical formulas for ball-and-stick models,
Compare cells and cell parts,比较细胞和细胞部分,Cells,biology,Understanding cells,
Science literacy: how does the nervous system produce phantom pain?,科学素养：神经系统如何产生幻肢痛？,Anatomy and physiology,literacy-in-science,,
"Classify rocks as igneous, sedimentary, or metamorphic",将岩石分类为火成岩、沉积岩或变质岩,Rocks and minerals,earth-science,Identify rocks using properties,
Cesar Chavez,塞萨尔·查韦斯,Historical figures,us-history,,
Identify facts and opinions,识别事实和意见,Social studies skills,civics,,
Classify symbiotic relationships,分类共生关系,Ecological interactions,biology,Interpret food webs I,
Select the words that don't belong,选择不属于的单词,Categories,vocabulary,,
Major U.S. cities,美国的主要城市,Cities,geography,,
Identify elements of poetry,识别诗歌元素,Poetry elements,reading-comprehension,,
Find evidence of changes to Earth's surface,寻找地球表面变化的证据,Earth events,earth-science,,
Body systems: circulation and respiration,身体系统：循环和呼吸,Animals,biology,Body parts and their functions,
Cities of the Midwest,中西部的城市,Cities,geography,Major U.S. cities,
Benjamin Franklin,本杰明·富兰克林,Historical figures,us-history,,
Origins of Judaism,犹太教的起源,World religions,world-history,,
The Bill of Rights,权利法案,Government,civics,The Constitution,
"Choose customary units of distance, mass, and volume",选择常用距离、质量和体积单位,Units and measurement,units-and-measurement,,
Causes of the American Revolution: introduction to mercantilism and the Navigation Acts,美国革命的原因：引介重商主义和导航法案,The American Revolution,us-history,,
Interpret the figure of speech,解释修辞手法,Literary devices,figurative-language,Interpret figures of speech,
Cell part functions: true or false,细胞部分功能：真或假,Cells,biology,Understanding cells,
Choose the sensory details that match the picture,选择与图片匹配的感官细节,Descriptive details,writing-strategies,,
Identify shortage and surplus,识别短缺和过剩,Supply and demand,economics,Understand overall supply and demand,
Classify changes to Earth's surface I,分类地球表面的变化 I,Earth events,earth-science,Find evidence of changes to Earth's surface,
Use climate data to make predictions,使用气候数据做出预测,Weather and climate,earth-science,What's the difference between weather and climate?,
The Civil War: the beginning of the war,内战：战争的开始,The Civil War and Reconstruction,us-history,,
Goods and services,商品和服务,Basic economic principles,economics,What is economics?,
Cities of the Southeast,东南部的城市,Cities,geography,Major U.S. cities,
What am I?,我是谁？,Comprehension strategies,vocabulary,,
Middle colonies: founding and government,中间殖民地：创立和政府,English colonies in North America,us-history,Identify the Thirteen Colonies,
Read passages about animals,阅读有关动物的文章,Read-alone texts,reading-comprehension,,
"Tariff, nullification, and bank war",关税、否认和银行战争,The Jacksonian period,us-history,,
State and local government,州和地方政府,Government,civics,State government,
Identify rocks using properties,使用属性识别岩石,Rocks and minerals,earth-science,Identify rocks and minerals,
"Identify solids, liquids, and gases",识别固体、液体和气体,States of matter,physics,,
Seed disperser: African elephant,种子传播者：非洲象,Animals,literacy-in-science,,
Body parts and their functions,身体部位及其功能,Animals,biology,,
Identify elements of poetry,识别诗歌元素,Analyzing literature,reading-comprehension,,
Identify ecosystems,识别生态系统,Ecosystems,biology,,
How can animal behaviors affect reproductive success? Identify evidence to support a claim,动物行为如何影响繁殖成功？识别支持声明的证据,Adaptations and natural selection,literacy-in-science,Introduction to natural selection,
Identify phases of the Moon,识别月球的相位,Astronomy,earth-science,,
Identify control and experimental groups,识别对照组和实验组,Designing experiments,science-and-engineering-practices,Identify independent and dependent variables,
Which word is not like the others?,哪个词与其他不同？,Categories,vocabulary,Select the words that don't belong,
Understand a Works Cited entry (MLA 7th edition),理解《参考文献》条目（MLA第7版）,Research skills,reference-skills,Identify plagiarism,
"Identify and sort solids, liquids, and gases",识别和分类固体、液体和气体,States of matter,physics,Identify solids and liquids,
Science and technology in early China,中国的科学和技术,Early China,world-history,Early Chinese thought,
Understanding cells,理解细胞,Cells,biology,,
Identify whether objects are accelerating,识别物体是否加速,"Velocity, acceleration, and forces",physics,Balanced and unbalanced forces,
The end of Reconstruction and the rise of Jim Crow,重建结束和吉姆·克劳的崛起,Reconstruction,us-history,Radical Reconstruction,
Identify states of the Midwest,识别中西部的州,States,geography,Identify the 50 states,
Evaluate natural energy sources,评估自然能源来源,Conservation and natural resources,earth-science,,
Origins of Christianity,基督教的起源,World religions,world-history,Origins of Judaism,
The greenhouse effect,温室效应,Climate change,earth-science,,
Changes to Earth's surface: erosion,地球表面的变化：侵蚀,Rocks and minerals,literacy-in-science,How do rock layers form?,
Foundations of Aztec civilization,阿兹特克文明的基础,Early Americas,world-history,,
The fall of the Western Roman Empire,西罗马帝国的衰落,Rome and the Byzantine Empire,world-history,The Roman Republic: part II,
"Compare urban, suburban, and rural areas",比较城市、郊区和乡村区域,Geography,geography,Identify oceans and continents,
Seed disperser: Eurasian red squirrel,种子传播者：欧亚红松鼠,Animals,literacy-in-science,,
Causes of the American Revolution: the French and Indian War,美国革命的原因：法国和印第安战争,The American Revolution,us-history,,
Neil Armstrong,尼尔·阿姆斯特朗,Historical figures,us-history,,
Explore air masses,探索气团,Weather and climate,earth-science,How do air masses form?,
Is it a complete sentence or a run-on?,这是完整句子还是连续句？,"Sentences, fragments, and run-ons",writing-strategies,Identify run-on sentences,
Describe tectonic plate boundaries around the world,描述世界各地的构造板块边界,Plate tectonics,earth-science,,
The Louisiana Purchase,路易斯安那购地,The Early Republic,us-history,,
Identify vague pronoun references,识别模糊的代词引用,Pronouns and antecedents,pronouns,,
Read passages about animals,阅读有关动物的文章,Informational texts: level 1,reading-comprehension,,
Identify functions of animal cell parts,识别动物细胞部分的功能,Cells,biology,Understanding cells,
Classical Athens: geography and society,古典雅典：地理和社会,Greece,world-history,,
"Describe populations, communities, and ecosystems",描述种群、群落和生态系统,Ecosystems,biology,Describe ecosystems,
Capitalizing titles,标题大小写,Capitalization,capitalization,,
The Great Depression: part I,大萧条：第一部分,20th century American history,us-history,World War I: the road to peace,
Identify elementary substances and compounds using chemical formulas,使用化学公式识别基本物质和化合物,Atoms and molecules,chemistry,What are atoms and chemical elements?,
Local government,地方政府,Government,civics,State and local government,
Christmas,圣诞节,Cultural celebrations,culture,,
World War I: the road to war,第一次世界大战：战争之路,20th century American history,world-history,,
Life as a colonist,殖民者的生活,Colonial America,us-history,Identify the Thirteen Colonies,
Alexander the Great,亚历山大大帝,Greece,world-history,Classical Athens: geography and society,
Investigate primary succession on a volcanic island,在火山岛上调查初级演替,Ecological interactions,literacy-in-science,Classify symbiotic relationships,
What are atoms and chemical elements?,什么是原子和化学元素？,Atoms and molecules,chemistry,,
The Civil War: war tactics and the home front,内战：战争策略和国内前线,The Civil War and Reconstruction,us-history,The Civil War: the beginning of the war,
Lunar New Year,农历新年,Cultural celebrations,culture,,
Antebellum Period: abolitionist and proslavery perspectives,前内战时期：废奴主义和亲奴隶制观点,Early 19th century American history,us-history,Antebellum Period: slavery and politics part II,
The Revolutionary War: preparing for war,革命战争：准备战争,The American Revolution,us-history,Causes of the American Revolution: the French and Indian War,
World War I: the road to peace,第一次世界大战：通往和平之路,20th century American history,world-history,World War I: events of the war,
Southern colonies: economy and slavery,南方殖民地：经济和奴隶制,English colonies in North America,us-history,Identify the Thirteen Colonies,
The U.S.-Mexican War,美墨战争,The Antebellum period,us-history,,
Causes of the Civil War: Dred Scott to secession,美国内战的原因：德雷德·斯科特到分裂,The Antebellum period,us-history,The abolitionists,
Early Roman society and politics,早期罗马社会和政治,Rome and the Byzantine Empire,world-history,The beginnings of Rome,
Introduction to fossils,化石的介绍,Fossils,earth-science,,
Thomas Edison,托马斯·爱迪生,Historical figures,us-history,,
Describe the effects of gene mutations on organisms,描述基因突变对生物的影响,Genes to traits,biology,"Genes, proteins, and traits: understanding the genetic code",
The Mongol Empire,蒙古帝国,Medieval Asia,world-history,,
Pollinator: Indian flying fox,授粉者：印度飞狐,Animals,literacy-in-science,,
How do flowering plants make new plants?,开花植物如何制造新植物？,Plants,biology,How do plants make food?,
Body systems: removing waste,身体系统：排泄废物,Animals,biology,Body parts and their functions,
Introduction to adaptations,适应性介绍,Traits,biology,,
Mesopotamian empires,美索不达米亚帝国,Ancient Mesopotamia,world-history,Early Mesopotamia,
The medieval Silk Road,中世纪丝绸之路,The Silk Road,world-history,The ancient Silk Road: geography and transportation,
The Executive Branch,执行部门,Government,civics,The Constitution,
Causes of the Civil War: Missouri Compromise to Bleeding Kansas,美国内战的原因：密苏里妥协到堪萨斯流血事件,The Antebellum period,us-history,The U.S.-Mexican War,
The beginnings of Rome,罗马的开始,Rome and the Byzantine Empire,world-history,,
Body systems: perception and motion,身体系统：感知和运动,Animals,biology,Body parts and their functions,
Comparing Athens and Sparta: part II,比较雅典和斯巴达：第二部分,Greece,world-history,Classical Athens: geography and society,
Interpret evidence from fossils in rock layers,解释化石在岩层中的证据,Fossils,earth-science,Identify and classify fossils,
Evaluate claims about natural resource use: fossil fuels,评估关于自然资源使用的声明：化石燃料,Natural resources and human impacts,earth-science,,
Explore chemical structure and properties: soapmaking,探索化学结构和性质：制皂,Chemical reactions,chemistry,Compare physical and chemical changes,
Southern Colonies: founding and government,南方殖民地：创立和政府,Colonial America,us-history,Identify the Thirteen Colonies,
The Judicial Branch,司法部门,Government,civics,The Constitution,
Compare plant and animal cells,比较植物细胞和动物细胞,Cells,biology,Understanding cells,
How do plants make food?,植物如何制造食物？,Plants,biology,Identify the photosynthetic organism,
The New Deal,新政,20th century American history,us-history,The Great Depression: part II,
Identify states of the Southeast,识别东南部的州,States,geography,Identify the 50 states,
Medieval Japan,日本的中世纪,Medieval Asia,world-history,,
The Civil War: the First Battle of Bull Run to Gettysburg,内战：第一次布尔运战役到葛底斯堡,The Civil War and Reconstruction,us-history,The Civil War: the beginning of the war,
Identify states of the Northeast,识别东北部的州,States,geography,Identify the 50 states,
Origins of Hinduism,印度教的起源,World religions,world-history,,
Plymouth,普利茅斯,English colonies in North America,us-history,Identify the Thirteen Colonies,
Causes of the American Revolution: politics and society,美国革命的原因：政治和社会,The American Revolution,us-history,,
The Bill of Rights,权利法案,The Constitution,civics,,
The Legislative Branch,立法部门,Government,civics,The Constitution,
The American Revolution: New British taxes,美国革命：新的英国税收,The American Revolution,us-history,Causes of the American Revolution: introduction to mercantilism and the Navigation Acts,
Holi,荷里活,Cultural celebrations,culture,,
Identify the photosynthetic organism,识别光合作用生物,Plants,biology,,
Benefits of group behavior: African wild dogs,群体行为的好处：非洲野狗,Animals,literacy-in-science,,
Identify functions of plant cell parts,识别植物细胞部分的功能,Cells,biology,Understanding cells,
Evaluate multiple design solutions to prevent flooding,评估多种设计解决方案以防止洪水,Engineering practices,literacy-in-science,Evaluate tests of engineering-design solutions,
Read a topographic map,阅读地形图,Topographic maps,earth-science,,
"World War II: lead-up to war in Europe, Asia",第二次世界大战：欧洲、亚洲战争的前奏,20th century American history,world-history,The New Deal,
Understanding the chemistry of cellular respiration,理解细胞呼吸的化学原理,Biochemistry,chemistry,"Structure and function: carbohydrates, lipids, proteins, and nucleic acids",
Compare ancient and modern organisms: use observations to support a hypothesis,比较古代和现代生物：使用观察支持假设,Fossils,earth-science,Compare fossils to modern organisms,
The American Revolution: struggle for independence,美国革命：独立斗争,The American Revolution,us-history,The American Revolution: New British taxes,
The Civil War: the beginning of the war,内战：战争的开始,The Civil War,us-history,,
"Structure and function: carbohydrates, lipids, proteins, and nucleic acids",结构和功能：碳水化合物、脂肪、蛋白质和核酸,Biochemistry,biology,,
The Constitutional Convention,宪法会议,The Early Republic,us-history,The Articles of Confederation,
Explore chemical structure and properties: food flavors,探索化学结构和性质：食品香料,Chemical reactions,chemistry,Compare physical and chemical changes,
The American Revolution: the Thirteen Colonies under British rule,美国革命：十三个殖民地在英国统治下,The American Revolution,us-history,,
Describe and graph water on Earth,描述和绘制地球上的水,Water cycle,earth-science,,
Identify and classify fossils,识别和分类化石,Fossils,earth-science,Introduction to fossils,
The American Revolution: preparing for war,美国革命：准备战争,The American Revolution,us-history,Causes of the American Revolution: the French and Indian War,
How do rock layers form?,岩层是如何形成的？,Rocks and minerals,earth-science,How do sedimentary rocks form?,
Middle colonies: economy and society,中间殖民地：经济和社会,English colonies in North America,us-history,Middle colonies: founding and government,
Thurgood Marshall,瑟古德·马歇尔,Historical figures,us-history,,
The Constitution,宪法,Government,civics,Purpose of government,
"Genes, proteins, and traits: understanding the genetic code",基因、蛋白质和性状：理解遗传密码,Genes to traits,biology,Genetics vocabulary: genotype and phenotype,
Banks,银行,Banking and finance,economics,,
Federal government,联邦政府,Government,civics,The Constitution,
Purpose of government,政府的目的,Government,civics,,
New England Colonies: founding and government,新英格兰殖民地：创立和政府,Colonial America,us-history,Identify the Thirteen Colonies,
